"dist_m","elevation_m","section","elv_chg_m","dist_chg_m","slope"
414414.454835238,1748.32507324219,"pct_sec_c5",4.06140136719,44.7297015117001,0.0518815908259696
414459.184536749,1743.82958984375,"pct_sec_c5",-4.49548339844,44.7297015116001,-0.0573914416368428
414503.914238261,1744.77331542969,"pct_sec_c5",0.943725585940001,44.7297015117001,0.0120867053048317
414548.643939773,1743.63879394531,"pct_sec_c5",-1.13452148438,44.7297015116001,-0.0145293521960557
414593.373641284,1740.80200195312,"pct_sec_c5",-2.83679199219,44.7297015116001,-0.036288821532018
414638.103342796,1739.04138183594,"pct_sec_c5",-1.76062011718,44.7297015117001,-0.0225407393230813
414682.833044308,1735.47570800781,"pct_sec_c5",-3.56567382813,44.7297015116001,-0.0455775357204262
414727.562745819,1733.46765136719,"pct_sec_c5",-2.00805664062,44.7297015117001,-0.0257046140469328
414772.292447331,1730.77893066406,"pct_sec_c5",-2.68872070313,44.7297015115983,-0.0343993366360116
414817.022148843,1734.80834960938,"pct_sec_c5",4.02941894532,44.7297015117001,0.0514752410279804
414861.751850354,1729.84350585938,"pct_sec_c5",-4.96484375,44.7297015116019,-0.0633370936143144
414906.481551866,1729.17199707031,"pct_sec_c5",-0.671508789070003,44.7297015117001,-0.00860093588080646
414951.211253378,1733.74877929688,"pct_sec_c5",4.57678222657,44.7297015115983,0.0584222244095114
414995.940954889,1730.302734375,"pct_sec_c5",-3.44604492188,44.7297015117001,-0.044054525903011
415040.670656401,1723.755859375,"pct_sec_c5",-6.546875,44.7297015116019,-0.083269859458651
415085.400357913,1717.75439453125,"pct_sec_c5",-6.00146484375,44.7297015115983,-0.0764183998826938
415130.130059424,1715.89611816406,"pct_sec_c5",-1.85827636719,44.7297015117001,-0.0237896068932498
415174.859760936,1716.35583496094,"pct_sec_c5",0.459716796880002,44.7297015116019,0.00588845978679738
415219.589462448,1713.95532226562,"pct_sec_c5",-2.40051269532,44.7297015117001,-0.0307195050165453
415264.319163959,1714.89440917969,"pct_sec_c5",0.939086914070003,44.7297015115983,0.0120273133044732
415309.048865471,1709.70568847656,"pct_sec_c5",-5.18872070313,44.7297015117001,-0.0661683310664197
415353.778566982,1707.17639160156,"pct_sec_c5",-2.529296875,44.7297015116019,-0.0323641494134836
415398.508268494,1702.158203125,"pct_sec_c5",-5.01818847656,44.7297015117001,-0.0640119995044044
415443.237970006,1703.11962890625,"pct_sec_c5",0.96142578125,44.7297015115983,0.0123133302770803
415487.967671517,1700.52783203125,"pct_sec_c5",-2.591796875,44.7297015116019,-0.0331621178875566
415532.697373029,1701.32263183594,"pct_sec_c5",0.794799804690001,44.7297015117001,0.0101797868103447
415577.427074541,1701.21520996094,"pct_sec_c5",-0.107421875,44.7297015115983,-0.00137600029155702
415622.156776052,1704.01013183594,"pct_sec_c5",2.794921875,44.7297015117001,0.0357546102569663
415666.886477564,1699.63232421875,"pct_sec_c5",-4.37780761719,44.7297015115983,-0.0558987789675169
415711.616179076,1696.54321289062,"pct_sec_c5",-3.08911132813,44.7297015117001,-0.0395067365077356
415756.345880587,1693.59521484375,"pct_sec_c5",-2.94799804687,44.7297015116019,-0.0377073650627564
415801.075582099,1694.66589355469,"pct_sec_c5",1.07067871094,44.7297015117001,0.0137120653842653
415845.805283611,1691.05200195312,"pct_sec_c5",-3.61389160157,44.7297015115983,-0.0461912206813338
415890.534985122,1689.97241210938,"pct_sec_c5",-1.07958984374,44.7297015117001,-0.0138261451733012
415935.264686634,1685.63305664062,"pct_sec_c5",-4.33935546876,44.7297015116019,-0.0554108652673425
415979.994388145,1682.74975585938,"pct_sec_c5",-2.88330078124,44.7297015115983,-0.0368821424677484
416024.724089657,1675.46057128906,"pct_sec_c5",-7.28918457032,44.7297015117001,-0.0925560281457738
416069.453791169,1668.40148925781,"pct_sec_c5",-7.05908203125,44.7297015116019,-0.0896824932491502
416114.18349268,1669.81884765625,"pct_sec_c5",1.41735839844,44.7297015117001,0.0181493477424665
416158.913194192,1666.55432128906,"pct_sec_c5",-3.26452636719,44.7297015115983,-0.0417424067668913
416203.642895704,1670.93334960938,"pct_sec_c5",4.37902832032,44.7297015117001,0.0559142669631809
416248.372597215,1672.94958496094,"pct_sec_c5",2.01623535156,44.7297015116019,0.0258091663335736
416293.102298727,1670.39404296875,"pct_sec_c5",-2.55554199219,44.7297015117001,-0.0326992493180473
416337.832000239,1674.48291015625,"pct_sec_c5",4.0888671875,44.7297015115983,0.0522305135974709
416382.56170175,1671.65539550781,"pct_sec_c5",-2.82751464844,44.7297015116019,-0.0361704594347705
416427.291403262,1664.30554199219,"pct_sec_c5",-7.34985351562,44.7297015117001,-0.0933128899629235
416472.021104774,1657.1806640625,"pct_sec_c5",-7.12487792969,44.7297015115983,-0.0905046275187275
416516.750806285,1659.75952148438,"pct_sec_c5",2.57885742188,44.7297015117001,0.0329969239457241
416561.480507797,1657.79345703125,"pct_sec_c5",-1.96606445313,44.7297015115983,-0.0251677814512883
416606.210209308,1660.9267578125,"pct_sec_c5",3.13330078125,44.7297015117001,0.0400700487319541
416650.93991082,1657.62316894531,"pct_sec_c5",-3.30358886719,44.7297015116019,-0.0422400886829141
416695.669612332,1655.01135253906,"pct_sec_c5",-2.61181640625,44.7297015117001,-0.0334176900819497
416740.399313843,1652.84020996094,"pct_sec_c5",-2.17114257812,44.7297015115983,-0.0277890852506808
416785.129015355,1648.34887695312,"pct_sec_c5",-4.49133300782,44.7297015117001,-0.0573388090338114
416829.858716867,1649.61462402344,"pct_sec_c5",1.26574707032,44.7297015116019,0.0162090544683127
416874.588418378,1647.04284667969,"pct_sec_c5",-2.57177734375,44.7297015115983,-0.0329065324812942
416919.31811989,1646.25305175781,"pct_sec_c5",-0.789794921880002,44.7297015117001,-0.0101156976906926
416964.047821402,1643.38354492188,"pct_sec_c5",-2.86950683593,44.7297015116019,-0.0367061788464442
417008.777522913,1646.73303222656,"pct_sec_c5",3.34948730468,44.7297015117001,0.0428247832935964
417053.507224425,1643.6337890625,"pct_sec_c5",-3.09924316406,44.7297015115983,-0.0396359005291471
417098.236925937,1639.97595214844,"pct_sec_c5",-3.65783691406,44.7297015117001,-0.0467504360320948
417142.966627448,1648.8818359375,"pct_sec_c5",8.90588378906,44.7297015116019,0.112605877041557
417187.69632896,1646.57202148438,"pct_sec_c5",-2.30981445312,44.7297015117001,-0.0295609330934132
417232.426030472,1649.14172363281,"pct_sec_c5",2.56970214843,44.7297015115983,0.0328800381203125
417277.155731983,1645.05590820312,"pct_sec_c5",-4.08581542969,44.7297015117001,-0.0521917463141714
417321.885433495,1639.73779296875,"pct_sec_c5",-5.31811523437,44.7297015116019,-0.0678032361037397
417366.615135006,1636.04833984375,"pct_sec_c5",-3.689453125,44.7297015115983,-0.0471527052649401
417411.344836518,1633.37634277344,"pct_sec_c5",-2.67199707031,44.7297015117001,-0.0341858844680134
417456.07453803,1629.71618652344,"pct_sec_c5",-3.66015625,44.7297015115983,-0.0467799477053098
417500.804239541,1625.95544433594,"pct_sec_c5",-3.7607421875,44.7297015117001,-0.0480595809469293
417545.533941053,1625.24536132812,"pct_sec_c5",-0.710083007820003,44.7297015116019,-0.00909492817343179
417590.263642565,1626.39807128906,"pct_sec_c5",1.15270996094,44.7297015117001,0.0147621823107978
417634.993344076,1627.92614746094,"pct_sec_c5",1.52807617188,44.7297015115983,0.0195660324831334
417679.723045588,1621.27587890625,"pct_sec_c5",-6.65026855469,44.7297015117001,-0.0845660533948594
417724.4527471,1625.26293945312,"pct_sec_c5",3.98706054687,44.7297015116019,0.0509369803224267
417769.182448611,1629.8486328125,"pct_sec_c5",4.58569335938,44.7297015115983,0.0585351851540522
417813.912150123,1635.60998535156,"pct_sec_c5",5.76135253906,44.7297015117001,0.0733949990359235
417858.641851634,1638.72668457031,"pct_sec_c5",3.11669921875,44.7297015116019,0.0398584266605899
417903.371553146,1640.0205078125,"pct_sec_c5",1.29382324219,44.7297015117001,0.0165683974225163
417948.101254658,1641.35400390625,"pct_sec_c5",1.33349609375,44.7297015115983,0.0170761423474522
417992.83095617,1637.02770996094,"pct_sec_c5",-4.32629394531,44.7297015117001,-0.0552451111218447
418037.560657681,1633.68090820312,"pct_sec_c5",-3.34680175782,44.7297015116019,-0.042790574888298
418082.290359193,1633.83337402344,"pct_sec_c5",0.152465820320003,44.7297015117001,0.00195297842315136
418127.020060704,1629.12158203125,"pct_sec_c5",-4.71179199219,44.7297015115983,-0.0601331635890212
418171.749762216,1621.09338378906,"pct_sec_c5",-8.02819824219,44.7297015117001,-0.101752505878546
418216.479463728,1609.39245605469,"pct_sec_c5",-11.70092773437,44.7297015116019,-0.146596170062233
418261.209165239,1602.77270507812,"pct_sec_c5",-6.61975097657,44.7297015115983,-0.0841835596717393
418305.938866751,1599.13806152344,"pct_sec_c5",-3.63464355468,44.7297015117001,-0.0464553056527676
418350.668568263,1599.37719726562,"pct_sec_c5",0.239135742179997,44.7297015115983,0.0030631409906804
418395.398269774,1598.24694824219,"pct_sec_c5",-1.13024902343,44.7297015117001,-0.0144746598591811
418440.127971286,1598.494140625,"pct_sec_c5",0.247192382809999,44.7297015116019,0.00316633816091391
418484.857672798,1597.06567382812,"pct_sec_c5",-1.42846679688,44.7297015117001,-0.0182914951067569
418529.587374309,1590.67150878906,"pct_sec_c5",-6.39416503906,44.7297015115983,-0.0813538424860099
418574.317075821,1592.03381347656,"pct_sec_c5",1.3623046875,44.7297015117001,0.0174448265098495
418619.046777332,1593.19262695312,"pct_sec_c5",1.15881347656,44.7297015116019,0.014840312132833
418663.776478844,1598.74743652344,"pct_sec_c5",5.55480957032,44.7297015115983,0.0707909916433245
418708.506180356,1599.76745605469,"pct_sec_c5",1.02001953125,44.7297015117001,0.0130635092017361
418753.235881867,1596.48229980469,"pct_sec_c5",-3.28515625,44.7297015116019,-0.0420052529393116
418797.965583379,1594.12438964844,"pct_sec_c5",-2.35791015625,44.7297015117001,-0.0301753344058921
418842.695284891,1595.62841796875,"pct_sec_c5",1.50402832031,44.7297015115983,0.0192583489295834
418887.424986402,1594.35131835938,"pct_sec_c5",-1.27709960937,44.7297015117001,-0.0163543555624732
418932.154687914,1598.431640625,"pct_sec_c5",4.08032226562,44.7297015116019,0.052121963997029
418976.884389426,1602.21704101562,"pct_sec_c5",3.78540039062,44.7297015117001,0.0483732046076372
419021.614090937,1602.58508300781,"pct_sec_c5",0.368041992190001,44.7297015115983,0.00471426731195734
419066.343792449,1602.0224609375,"pct_sec_c5",-0.562622070309999,44.7297015117001,-0.00720643534822782
419111.073493961,1607.4775390625,"pct_sec_c5",5.455078125,44.7297015116019,0.0695325594072512
419155.803195472,1606.73229980469,"pct_sec_c5",-0.745239257809999,44.7297015115983,-0.00954513723775471
