"distance_m","elevation_m","section","dist_chg_m"
5317.54925456,2913.88940429688,"pct_sec_i1",64.0668584886798
5381.61611304867,2917.91674804688,"pct_sec_i1",64.0668584886698
5445.68297153735,2918.20092773438,"pct_sec_i1",64.0668584886798
5509.74983002602,2919.69580078125,"pct_sec_i1",64.0668584886707
5573.8166885147,2919.07690429688,"pct_sec_i1",64.0668584886798
5637.88354700337,2916.18212890625,"pct_sec_i1",64.0668584886698
5701.95040549205,2916.68994140625,"pct_sec_i1",64.0668584886798
5766.01726398072,2917.48095703125,"pct_sec_i1",64.0668584886698
5830.0841224694,2918.41455078125,"pct_sec_i1",64.0668584886807
5894.15098095807,2915.87329101562,"pct_sec_i1",64.0668584886698
5958.21783944675,2911.79858398438,"pct_sec_i1",64.0668584886798
6022.28469793542,2905.544921875,"pct_sec_i1",64.0668584886698
